Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_240424_235832_v1,gpu,19,5.884,1.047,0.675,0.318,0.0
Synthetic_240424_235832_v1,spinnaker,7,2.324,0.632,0.671,0.324,0.0
Synthetic_240424_235832_v2,gpu,19,5.657,1.014,0.622,0.316,0.0
Synthetic_240424_235832_v2,spinnaker,7,2.37,0.627,0.643,0.317,0.0
Synthetic_240424_235832_v3,gpu,19,5.758,1.059,0.674,0.32,0.0
Synthetic_240424_235832_v3,spinnaker,7,2.241,0.556,0.643,0.32,0.0
Synthetic_240424_235943_v1,gpu,19,7.355,1.303,0.875,0.398,0.0
Synthetic_240424_235943_v1,spinnaker,8,3.225,0.97,0.917,0.402,0.0
Synthetic_240424_235943_v2,gpu,19,7.376,1.312,0.907,0.396,0.0
Synthetic_240424_235943_v2,spinnaker,7,3.173,1.018,0.884,0.397,0.0
Synthetic_240424_235943_v3,gpu,19,7.333,1.308,0.915,0.402,0.0
Synthetic_240424_235943_v3,spinnaker,7,2.998,0.925,0.926,0.403,0.0
Synthetic_240425_000054_v1,gpu,19,9.46,1.693,1.149,0.505,0.0
Synthetic_240425_000054_v1,spinnaker,7,3.95,1.236,1.215,0.525,0.0
Synthetic_240425_000152_v1,gpu,19,6.719,1.156,0.777,0.375,0.0
Synthetic_240425_000152_v1,spinnaker,7,2.61,0.791,0.719,0.361,0.0
Synthetic_240425_000152_v2,gpu,19,6.858,1.172,0.763,0.383,0.0
Synthetic_240425_000152_v2,spinnaker,7,2.781,0.758,0.772,0.382,0.0
Synthetic_240425_000152_v3,gpu,19,6.748,1.138,0.766,0.377,0.0
Synthetic_240425_000152_v3,spinnaker,7,2.875,0.874,0.788,0.381,0.0
Synthetic_240425_000303_v1,gpu,19,7.046,1.206,0.843,0.378,0.0
Synthetic_240425_000303_v1,spinnaker,7,3.423,1.319,0.928,0.387,0.003
Synthetic_240425_000303_v2,gpu,19,6.885,1.189,0.856,0.374,0.0
Synthetic_240425_000303_v2,spinnaker,8,3.458,1.245,0.891,0.386,0.0
Synthetic_240425_000303_v3,gpu,19,7.182,1.275,0.859,0.384,0.0
Synthetic_240425_000303_v3,spinnaker,7,3.017,0.934,0.841,0.377,0.0
Synthetic_240425_000415_v1,gpu,19,8.598,1.551,1.005,0.469,0.0
Synthetic_240425_000415_v1,spinnaker,7,3.393,0.942,1.009,0.473,0.0
Synthetic_240425_000415_v2,gpu,19,8.673,1.561,1.017,0.474,0.0
Synthetic_240425_000415_v2,spinnaker,7,3.612,1.207,1.035,0.464,0.0
Synthetic_240425_000415_v3,gpu,19,8.705,1.539,0.957,0.478,0.0
Synthetic_240425_000415_v3,spinnaker,7,3.205,0.956,0.99,0.474,0.0
Synthetic_240425_000526_v1,gpu,19,8.229,1.532,0.956,0.453,0.0
Synthetic_240425_000526_v1,spinnaker,7,3.193,0.937,0.9,0.448,0.0
Synthetic_240425_000526_v2,gpu,19,8.124,1.503,0.949,0.453,0.0
Synthetic_240425_000526_v2,spinnaker,7,3.29,1.052,0.921,0.439,0.0
Synthetic_240425_000526_v3,gpu,19,8.283,1.515,0.943,0.448,0.0
Synthetic_240425_000526_v3,spinnaker,7,3.282,0.906,0.912,0.454,0.0
Synthetic_240425_000637_v1,gpu,19,11.412,2.239,1.305,0.592,0.0
Synthetic_240425_000637_v1,spinnaker,8,4.612,1.407,1.321,0.584,0.0
Synthetic_240425_000637_v2,gpu,19,11.2,2.226,1.392,0.588,0.0
Synthetic_240425_000637_v2,spinnaker,7,4.577,1.463,1.271,0.589,0.0
Synthetic_240425_000637_v3,gpu,19,11.513,2.161,1.273,0.589,0.0
Synthetic_240425_000637_v3,spinnaker,7,4.643,1.441,1.337,0.585,0.0
Synthetic_240425_000748_v1,gpu,19,11.214,2.208,1.331,0.59,0.0
Synthetic_240425_000748_v1,spinnaker,7,4.742,1.813,1.334,0.597,0.0
Synthetic_240425_000748_v2,gpu,19,11.545,2.289,1.361,0.612,0.0
Synthetic_240425_000748_v2,spinnaker,8,4.854,1.682,1.393,0.598,0.0
Synthetic_240425_000748_v3,gpu,19,11.955,2.311,1.389,0.628,0.0
Synthetic_240425_000748_v3,spinnaker,7,4.769,1.65,1.31,0.617,0.0
Synthetic_240425_000859_v1,gpu,19,13.2,2.747,1.413,0.659,0.0
Synthetic_240425_000859_v1,spinnaker,7,5.334,1.981,1.36,0.652,0.0
Synthetic_240425_000859_v2,gpu,19,13.059,2.663,1.39,0.654,0.0
Synthetic_240425_000859_v2,spinnaker,7,5.216,1.743,1.385,0.651,0.0
Synthetic_240425_000859_v3,gpu,20,13.446,2.791,1.386,0.656,0.0
