Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,ModeSpeed
manual_240416_171630,gpu,35,20,4,0.51,0.336,0.331
manual_240417_104038,gpu,20,36,16,4.175,1.041,0.0
manual_240417_131858,gpu,22,29,10,3.068,0.658,0.46
manual_240417_132059,gpu,39,48,14,3.376,0.631,0.0
manual_240416_171459,gpu,21,21,5,1.878,0.655,0.563
manual_240416_171328,gpu,22,21,12,0.772,0.335,0.27
manual_240416_171730,gpu,27,11,6,0.351,0.152,0.193
manual_240417_103707,gpu,23,11,3,0.548,0.298,0.302
manual_240416_171559,gpu,19,35,16,3.216,1.024,0.0
manual_240417_103907,gpu,20,25,9,2.403,0.774,0.24
manual_240417_131958,gpu,23,29,15,2.637,0.566,0.0
manual_240417_103938,gpu,17,21,13,2.502,0.711,0.0
manual_240417_131727,gpu,21,24,5,3.125,0.686,0.625
manual_240417_131928,gpu,22,24,11,2.75,0.55,0.0
manual_240417_103737,gpu,39,54,22,2.402,0.577,0.48
manual_240417_132028,gpu,19,57,54,5.121,0.331,0.0
manual_240417_132159,gpu,25,31,17,3.075,0.549,0.0
manual_240417_103807,gpu,39,54,50,0.775,0.083,0.0
manual_240417_104108,gpu,27,21,15,0.855,0.229,0.0
manual_240416_171429,gpu,22,29,7,2.65,0.804,0.928
manual_240417_103837,gpu,21,32,11,3.326,0.912,1.164
manual_240417_131828,gpu,35,51,6,2.623,0.854,0.787
manual_240417_131757,gpu,22,24,3,1.525,0.594,0.61
manual_240416_171700,gpu,39,24,13,0.453,0.16,0.0
manual_240416_171529,gpu,16,30,23,3.31,0.793,0.0
manual_240417_104008,gpu,33,58,26,4.054,0.932,0.0
manual_240416_171258,gpu,21,19,6,2.201,0.599,0.66
manual_240416_171358,gpu,22,18,3,1.25,0.552,0.625
manual_240417_132129,gpu,22,32,13,2.978,0.775,0.0
manual_240416_171630,gpu,26,15,4,0.465,0.309,0.279
manual_240417_104038,gpu,19,37,16,4.2,1.074,0.0
manual_240417_131858,gpu,23,28,9,3.068,0.645,0.46
manual_240417_132059,gpu,39,70,34,3.376,0.655,0.0
manual_240416_171459,gpu,21,22,6,1.808,0.678,0.633
manual_240416_171328,gpu,26,17,5,0.76,0.325,0.304
manual_240416_171730,gpu,29,11,6,0.432,0.155,0.194
manual_240416_171429,gpu,22,26,7,2.159,0.726,0.972
manual_240416_171429,gpu,21,26,7,2.55,0.765,1.02
manual_240416_171630,gpu,39,17,15,0.912,0.104,0.0
manual_240416_171429,gpu,39,28,7,1.2,0.342,0.0
manual_240416_171429,gpu,39,32,6,1.276,0.344,0.447
manual_240416_171429,gpu,47,34,4,1.276,0.346,0.447
manual_240416_171429,gpu,46,33,4,0.95,0.356,0.523
manual_240416_171429,gpu,19,32,19,1.226,0.353,0.0
manual_240416_171559,gpu,19,38,22,2.686,0.487,0.0
manual_240416_171559,gpu,39,39,7,2.686,0.476,0.0
manual_240416_171559,spinnaker,39,85,54,2.775,0.56,0.0
manual_240416_171559,spinnaker,39,44,16,2.652,0.482,0.0
manual_240416_171559,spinnaker,36,41,11,2.708,0.508,0.0
jp_manual,spinnaker,39,41,18,0.825,0.343,0.371
jp_manual,gpu,39,27,5,0.762,0.355,0.381
jp_manual_v2,gpu,39,51,12,3.327,0.801,0.499
jp_manual_v2,gpu,39,50,11,2.832,0.738,0.0
jp_manual_v2,gpu,39,49,10,2.832,0.735,0.566
jp_manual_v2,gpu,39,54,10,3.178,0.833,0.795
jp_manual_v3,gpu,38,28,10,2.623,0.496,0.0
jp_manual_v4,gpu,39,15,10,1.283,0.175,0.0
jp_manual_v4,gpu,39,14,3,0.686,0.212,0.24
jp_manual_v3,gpu,39,28,7,2.673,0.507,0.0
jp_manual_v5,gpu,39,79,35,2.809,0.773,0.0
jp_manual_v5,gpu,19,67,44,2.733,0.814,0.0
jp_manual_v5,gpu,96,113,100,3.03,0.588,0.455
jp_manual_v5,gpu,99,102,13,3.021,0.587,0.453
jp_manual_v5,gpu,99,58.409,8.345,3.006,0.586,0.451
jp_manual_v5,spinnaker,99,81.091,52.57,3.046,0.586,0.457
jp_manual_v5,spinnaker,0,132.922,132.922,3.035,0.588,0.455
jp_manual_v5,spinnaker,99,60.831,9.96,3.046,0.586,0.457
jp_manual_v5,spinnaker,99,80.288,53.925,3.046,0.586,0.457
jp_manual_v5,spinnaker,9,62.382,58.811,3.046,0.587,0.457
jp_manual_v5,gpu,0,132.896,132.896,3.046,0.587,0.457
jp_manual_v5,gpu,9,85.113,81.94,3.046,0.59,0.457
jp_manual_v5,gpu,99,60.97,8.704,3.046,0.587,0.457
jp_manual_v5,gpu,99,76.599,15.841,2.675,0.839,0.0
jp_manual_v5,gpu,26,10.065,2.015,0.575,0.396,0.374
jp_manual_v5,gpu,39,9.77,2.006,0.325,0.255,0.244
jp_manual_v5,gpu,40,15.572,2.245,0.909,0.458,0.477
jp_manual_v5,gpu,39,18.763,2.21,0.861,0.482,0.421
jp_manual_v5,gpu,55,25.603,2.215,0.785,0.469,0.373
